clip_annotation_id	clip_id	user_id	is_low_quality	contains_noise_caused_by_human_activity	contains_unknown_birds	does_not_contain_birds
1	1	user50	False	False	False	False
2	2	user50	False	False	True	False
3	3	user50	False	False	True	False
4	4	user50	False	False	False	False
5	5	user50	False	True	False	False
6	6	user50	False	False	False	False
7	7	user50	False	False	False	False
8	8	user50	False	False	False	False
9	9	user50	False	False	False	False
10	10	user50	True	False	True	False
11	11	user50	False	False	False	False
12	12	user50	False	False	True	False
13	13	user50	False	False	False	False
14	14	user50	False	False	False	False
15	15	user50	False	False	True	False
16	16	user50	False	False	True	False
17	17	user50	False	False	False	False
18	18	user50	True	False	False	False
19	19	user50	False	False	True	False
20	21	user195	True	True	False	False
21	22	user195	False	False	False	False
22	23	user195	False	False	False	False
23	24	user195	False	False	False	False
24	25	user195	True	False	False	False
25	26	user195	True	False	False	False
26	13	user195	False	False	False	False
27	27	user195	False	True	False	False
28	28	user195	False	False	False	False
29	29	user195	False	False	False	False
30	30	user195	True	False	False	False
31	31	user195	False	False	False	False
32	32	user195	False	False	False	False
33	33	user195	False	False	False	False
34	34	user195	False	False	False	False
35	35	user195	False	False	False	False
36	36	user195	False	False	False	False
37	37	user195	False	False	False	False
38	38	user195	False	False	False	False
39	39	user195	False	False	False	False
40	40	user195	False	False	False	False
41	41	user195	False	False	False	False
42	42	user195	False	False	False	False
43	43	user195	False	False	False	False
44	44	user195	False	False	False	False
45	45	user195	False	False	False	False
46	46	user195	False	False	False	False
47	47	user195	False	False	False	False
48	48	user195	False	False	False	False
49	49	user195	False	False	False	False
50	50	user195	False	False	False	False
51	51	user195	False	False	False	False
52	52	user195	False	False	False	False
53	53	user195	False	False	False	True
54	54	user195	False	False	False	True
55	55	user195	False	True	False	False
56	56	user195	False	False	False	False
57	57	user195	False	False	False	False
58	58	user195	False	False	False	False
59	59	user195	False	False	False	False
60	60	user195	False	False	False	False
61	61	user195	False	False	False	False
62	62	user195	False	False	False	False
63	63	user195	False	False	False	False
64	64	user195	False	False	False	False
65	65	user195	False	False	False	False
66	66	user195	False	False	False	False
67	67	user195	False	False	False	False
68	68	user195	False	False	False	False
69	69	user195	False	False	False	False
70	70	user195	False	False	False	False
71	71	user195	False	False	False	False
72	72	user195	False	False	False	False
73	73	user195	False	False	False	False
74	74	user195	False	False	False	False
75	75	user195	False	False	False	False
76	76	user195	False	False	False	False
77	77	user195	False	False	False	False
78	78	user195	False	False	False	False
80	20	user50	False	False	False	False
81	80	user50	False	False	False	False
82	81	user50	False	False	False	False
83	82	user50	False	False	True	False
84	83	user50	False	False	False	False
85	84	user50	False	False	False	False
86	85	user50	False	False	True	False
87	86	user50	False	True	False	False
88	87	user50	False	False	False	False
89	88	user50	False	False	False	False
90	89	user50	False	False	False	False
91	90	user50	False	False	False	False
92	91	user50	False	False	False	False
93	92	user50	False	False	False	False
94	26	user50	False	False	False	False
95	93	user50	False	False	False	False
96	94	user50	False	False	False	False
97	95	user50	False	False	True	False
98	98	user50	False	False	False	False
99	22	user50	False	True	False	False
100	97	user170	False	False	False	False
101	100	user170	False	False	False	False
102	101	user170	False	False	False	False
103	102	user170	False	False	False	False
104	103	user170	False	False	False	False
105	104	user170	False	False	False	False
106	105	user170	False	False	False	False
107	106	user170	False	False	True	False
108	107	user170	False	False	False	False
109	108	user170	False	False	False	False
110	109	user170	False	False	False	False
111	110	user170	False	False	False	False
112	111	user170	False	False	True	False
113	13	user170	False	False	False	False
114	112	user170	False	False	False	False
115	113	user170	False	False	False	False
116	1	user170	False	False	False	False
117	53	user170	False	False	False	False
118	114	user170	False	False	True	False
119	115	user170	False	False	False	False
120	116	user170	False	False	False	False
121	117	user170	False	False	False	False
122	118	user170	False	False	False	False
123	119	user170	False	False	False	False
124	120	user170	False	False	False	False
125	121	user170	False	False	True	False
126	122	user170	False	False	False	False
127	123	user170	False	False	False	False
128	124	user170	False	False	False	False
129	125	user170	False	False	False	False
130	126	user170	False	False	False	False
131	127	user170	False	False	False	False
132	128	user170	False	True	False	False
133	129	user170	False	False	False	False
134	130	user170	False	False	False	False
135	132	user146	False	False	False	False
136	134	user146	False	False	True	False
137	135	user146	False	False	False	False
138	136	user146	True	False	False	False
139	137	user146	False	False	False	False
140	138	user8	False	False	False	False
141	127	user118	False	False	True	False
142	140	user118	False	False	False	False
143	141	user118	False	False	False	False
144	142	user118	True	False	True	False
145	143	user118	False	False	True	False
146	144	user118	False	False	False	False
147	145	user118	False	False	False	False
148	146	user118	False	True	False	False
149	147	user118	True	True	False	False
150	148	user118	False	True	False	False
151	149	user118	True	False	False	False
152	150	user118	True	False	False	False
153	151	user118	False	False	False	False
154	1	user118	False	False	False	False
155	152	user118	False	True	False	False
156	13	user118	True	False	False	False
157	153	user118	True	False	False	False
158	154	user118	False	False	False	False
159	155	user118	False	False	False	False
160	156	user118	True	False	False	False
161	157	user118	False	False	False	False
162	158	user118	False	True	False	False
163	159	user118	True	False	True	False
164	160	user118	False	True	False	False
165	161	user118	True	False	False	False
166	162	user118	True	True	False	False
167	163	user118	True	True	False	False
168	54	user118	False	True	False	False
169	164	user118	True	True	False	False
170	165	user118	True	False	False	False
171	166	user118	True	False	False	False
172	167	user118	True	False	False	False
173	168	user118	False	True	False	False
174	169	user118	False	False	False	False
175	170	user118	True	False	False	False
176	171	user118	False	True	True	False
177	172	user118	False	True	False	False
178	173	user118	True	False	False	False
179	174	user118	False	True	False	False
180	175	user118	True	False	False	False
181	176	user118	True	False	False	False
183	178	user118	True	False	False	False
184	179	user118	False	False	False	False
185	180	user118	True	False	False	False
186	181	user118	True	False	False	False
187	182	user118	False	False	False	False
188	183	user118	False	False	False	False
189	184	user118	False	True	False	False
190	185	user118	False	True	False	False
191	186	user118	False	True	False	False
192	187	user118	True	False	False	False
193	188	user118	True	True	False	False
194	189	user118	False	False	False	False
195	190	user118	False	True	True	False
196	191	user118	False	True	False	False
197	192	user118	True	False	False	False
198	193	user118	True	False	False	False
199	194	user118	False	True	False	False
200	195	user118	False	False	False	False
201	196	user118	False	False	False	False
202	197	user118	False	True	False	False
203	198	user118	False	False	False	False
204	199	user118	False	False	False	False
205	200	user118	True	False	True	False
206	201	user118	True	True	False	False
207	202	user118	False	False	True	False
208	203	user118	False	False	False	False
209	204	user118	False	False	True	False
210	139	user8	False	False	False	False
211	200	user8	False	False	True	False
212	206	user8	False	False	False	False
213	207	user8	False	False	False	False
214	208	user8	False	False	False	False
215	209	user8	False	True	True	False
216	210	user8	False	True	False	False
217	211	user8	False	False	False	False
218	212	user8	True	True	False	False
219	213	user8	False	False	False	False
220	214	user8	True	False	False	False
221	205	user118	False	False	False	False
222	216	user118	False	False	False	False
223	130	user118	False	False	False	False
224	217	user118	False	False	False	False
225	218	user118	False	False	False	False
226	219	user118	False	True	False	False
227	215	user8	False	False	False	False
228	221	user8	False	False	False	False
229	220	user118	True	False	False	False
230	222	user8	False	False	False	False
